python开发工程师,11k-20k ,上海,"
经验3-5年","
本科及以上","
        工作职责：1、负责公司AI应用软件的功能开发；2、参与公司重要产品的用户调研、需求分析、技术方案的制定并撰写相关技术文档。任职要求：1、 计算机、数学或相关工科专业研究生或以上学历，3年以上相关工作经验；2、 编程语言：熟练使用Python/C++语言; 熟练Linux的常用命令及脚本编写；3、 深刻理解计算机原理，有良好的数据结构和算法基础；4、 具有AI应用产品开发经验者优先；5、 熟练数据库表设计、SQL语法，熟练MySQL数据库6、 学习能力强，拥有较强的逻辑思维能力，对问题有钻研精神，有较好的沟通交流能力。
        "
python开发,10k-15k ,深圳,"
经验1-3年","
本科及以上","
        岗位职责：
1、完成SasS平台开发建设，相关后台功能开发；
2、协助测试平台系统，准备相关的技术文档，协助解决各种技术问题；
3、按照项目计划，按时提交高质量代码，完成开发任务。


任职要求：
1. 本科及以上学历，两年以上工作经验
2. 熟悉Python，熟悉Gevent、Flask、SQLAlchemy等常用组件
3. 熟练掌握Mysql数据库的使用与优化
4. 良好的沟通能力、协作能力
5. 有高并发、高可用系统开发经验的优先
6. 有微服务开发经验优先
        "
Python开发工程师,15k-25k ,深圳,"
经验3-5年","
本科及以上","
        岗位描述：
1. 负责风控系统开发，如：数据接入、清洗、风险检测、用户行为分析；2. 负责运维系统的架构设计和开发，包括但不限于 CI/CD， 容器管理和编排/智能监控告警及定位/中间件管理/CMDB/运维编排等系统的开发与维护；3. 制定运维规划，深入各运维技术子方向（故障监控/容量评估/配置和资源变更等），提供平台化运维解决方案 并持负责续优化；4. 负责新兴运维技术探索与应用，持续提升系统运维能力和运维效率。

岗位要求：
1. 计算机相关专业，2年以上后台开发经验；2. 具有扎实的计算机基本功，熟悉linux操作系统，熟悉基本的数据结构和算法，熟悉基本的网络知识；3. 精通Python, 熟悉shell/golang；4. 掌握至少一种python Web框架：Django /flask/ tornado， 熟悉前端框架如： vue, easyui, jquery；5. 熟悉restful风格api的设计和编写；6. 熟悉运维相关系统工具与流程， 熟悉DEVOPS/CI/CD， 具备相应的二次开发能力， 如：变更系统、监控系统和CMDB等；7. 精通MySQL/Redis/neo4j等数据存储；8. 熟悉K8S, Docker, Kafka, Zookeeper, Prometheus 等开源组件的架构及实现原理者优先；9. 熟悉tcp/ip/http协议、精通多进程、多线程编程，及进程间通信；10. 具有优良的代码习惯，重视代码质量；11. 工作细致认真、有责任心，执行力强，有较强的学习能力和积极性。
        "
资深Python/Go工程师,30k-60k ,北京,"
经验3-5年","
本科及以上","
        工作职责：
1、负责运维自动化、云平台、Devops、AIOps等相关平台设计和开发工作 提升运维效率； 
2、协助开发和构建底层云平台、云基础组件； 
3、对现有的自动化平台进行整合升级。
4、推动研发、发布、运维、测试等流程制度环境的规范化，自动化，智能化 

岗位要求: 
1、熟练使用 Python/Java/Go 语言，有实际 Python/Java/Go Web 项目经验，有自动化运维平台、云平台、云计算、虚拟化、Devops项目经验者优先； 
2、熟练掌握至少一门 web 开发框架（Django、Flask、Tornado、Spring、beego等）； 
3、熟悉 MySQL/PostgreSQL/Redis/MongoDB； 
4、熟悉 Linix/Unix 操作系统；  
5、本科以上学历，具备较强的学习能力和责任心，良好的代码能力、工程能力、沟通能力、文档编写能力，有github开源项目者优先。 
7、熟悉nginx、jenkins、zabbix、docker、k8s等开源软件，熟悉项目开发管理、代码规范、git等工具是加分项

一、公司介绍：
跟谁学是美国纽交所上市公司在线教育**股（股票代码：GSX），目前已经超过百亿美金市值，创始团队和高管均来新东方、百度、阿里、腾讯、美团等知名的教育和互联网公司，公司正在高速发展阶段，目前已经做到在线教育行业前三，高速增长期，且行业里**一家盈利在线教育公司。目标是成为行业 TOP 1 的在线教育公司，期待优秀的人才加入。今年会达到20000多人规模，技术团队会达到2000人+。**期间全程支持远程面试

二、团队介绍：
运维自动化研发团队属于公司核心技术团队之一，研发一系列大型运维自动化平台、大规模云平台、内部云计算微服务容器化平台和基础架构基础组件的开发，大数据、机器学习、AIOPS相关的技术栈也在落地，期待您的加入~

三、leader机会：
这边是核心岗位，有leader机会， 机会特别好（不想做leader想做高工也可以） 

四、技术栈：
技术栈以python/go为主，还有很多云计算k8s、机器学习数据挖掘场景，能做的事情很多~
        "
高级Python开发工程师,25k-35k ,杭州,"
经验3-5年","
本科及以上","
        【职位描述】
1. 负责一梦江湖游戏的测试开发工作，积极发现并推动解决项目中的进度、流程、质量风险；
2. 负责网易游戏一站式测试中台的开发、维护、调优工作，打造业内最好的测试平台；
3. 负责一梦江湖日常工具的开发、维护。



【职位要求】
1. 计算机或相关专业，全日制本科及以上学历，至少2年以上工作经验；
2. 扎实的数据结构和算法基础，熟悉常用的设计模式；
3. 熟练掌握Java/Python(至少一种)。熟练使用Spring Cloud, Spring Boot/Django, flask等框架；
4. 熟练使用git等代码管理工具，有良好的代码质量和工程质量意识；
5. 熟练掌握http/TCP等网络协议，熟悉数据库及常用中间件；
6. 工作态度认真，能承受一定的工作压力。
        "
Python服务端开发工程师 - ...,20k-40k ,广州,"
经验1-3年","
本科及以上","
        【职位描述】
职位描述：
* 负责平台型产品服务端的功能开发和维护；
* 为产品设计高吞吐量、稳定、安全的服务端架构。

【职位要求】
职位要求：
* 扎实的计算机专业基础，熟悉常用的数据结构和算法；
* 精通Python开发，2年以上Web相关开发经验；
* 熟悉TCP/IP、HTTP等网络协议，熟悉网络编程；
* 了解Linux系统原理，熟悉Linux常用命令的使用；
* 熟悉Nginx配置和使用；
* 熟悉数据库原理，熟练使用MySQL、MongoDB，有一定的调优经验；
* 能独立负责系统模块，具备框架设计能力；
* 思维严谨，具有良好的沟通能力，团队合作能力。
        "
Python开发工程师（爬虫）,12k-20k ,深圳,"
经验3-5年","
本科及以上","
        岗位职责：
1.负责优化极光已有爬取任务，提高任务的时效性于准确性，增加爬虫资源的利用率；
2.攻坚各种合规公开的数据爬取；
3.负责对爬取数据进行一定的清洗入库。

岗位要求：
1、本科及以上，计算机、软件工程等相关专业；
2、熟练使用Python，熟悉 Redis, MySQL, Gevent, Scrapy, Pandas, HTTP协议；
3、有APP端数据爬取经验，对分布式任务调度，存储和网络有深入理解；
4、结果导向，做事有条理，自我驱动，具有强烈的好奇心、责任心。
        "
Python开发工程师,20k-35k ,广州,"
经验3-5年","
本科及以上","
        岗位职责：
1.负责核心产品的后端开发工作，支撑千万日活
2.设计和构建相关基础设施，优化开发、部署等流程，提高生产力
3.持续改进服务端架构和技术栈，扩大系统容量，提高系统可用性

任职资格：
1.本科及以上学历，计算机相关专业
2.3 年以上 Python 开发经验，熟悉常见软件架构模式和技术栈
3.计算机基础知识扎实，熟练运用常见数据结构和算法
4.熟练掌握 MySQL、Redis 等数据库，对性能优化有较深的理解和应用
5.熟练掌握 Linux 平台，熟悉常见软件或服务，有一定的性能监控、调优相关经验
6.拥有一定的持续测试、集成、部署实践经验
7.加分项：有在线支付业务开发经验，如 PayPal、Stripe等
8.加分项：有分布式计算、推荐系统开发经验
        "
python,13k-15k ,杭州,"
经验应届毕业生","
本科及以上","
        岗位描述：从事浙江农信各类银行业务系统的软件开发、项目管理和应用支持等工作。
岗位要求：
1、重点高校全日制本科及以上学历；
2、计算机科学与技术、软件工程、数学等相关专业；
3、熟练掌握至少一门面向对象的高级开发语言（如C/C++、JAVA、大数据、Python等），熟悉掌握SQL、ORACLE、DB2等数据库相关知识；
4、具有良好的综合素质和发展潜力，具备较强的学习能力、创新意识和协作精神，具有较强的分析和解决问题能力。
        "
python开发工程师,8k-16k ,杭州,"
经验3-5年","
本科及以上","
        1. 熟练使用Linux等类Unix系统作为开发环境；2. 熟悉掌握一种Python orm开发模型；3. 有独立debug及分析处理问题的能力；4. 熟练掌握一种面相对象数据库以及git操作；5. 有良好的团队合作意识，善于自主思考，自主学习；6. 具备较强英文阅读能力和沟通能力，乐于分享；7. 有Linux应用运维相关经验。
        "
